Brand,Product Title,Price,Rating,Seller Rating,Ship on Time Score,URL Link,No.of Questions,Specifications
Redmi,"Redmi 12C, 4GB RAM 128GB ROM , 50",28999,4.4,85.0,77.0,https://www.daraz.pk/products/redmi-12c-671-inch-display-4gb-ram-i425222112-s2014006595.html?search=1,59,"ProcessorCPUOcta-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55) ChipsetMediatek MT6769Z Helio G85 (12nm) GPUMali-G52 MC2 DisplayTechnologyIPS LCD Capacitive Touchscreen, 16M Colors, Multitouch Size6.71 Inches Resolution720 x 1650 Pixels (~268 PPI) ProtectionCorning Gorilla Glass Extra Features500 nits (typ) MemoryBuilt-in128GB Built-in, 4GB RAM CardmicroSDXC (dedicated slot) CameraMainDual camera: 50 MP, (wide), PDAF + 0.08 MP (depth), LED Flash FeaturesPhase detection, geo-tagging, touch focus, face detection, HDR, panorama, Video (1080p@30fps) Front5 MP, Video (1080p@30fps)"
itel,itel A60s 6.6″ HD+ Display | 8+128GB Storage,22999,4.3,92.0,100.0,https://www.daraz.pk/products/samsung-a14-6128-i422210787-s1998035735.html?search=1,12,6.6″ HD+ Display
Tecno,Tecno POVA 5 Pro 5G 256GB ROM +,57599,4.6,86.0,76.0,https://www.daraz.pk/products/itel-a60s-4gb-ram-128gb-rom-66-hd-display-5000mah-battery-pta-approved-official-brand-warranty-i432849791-s2069109931.html?search=1,104,Drak Illusion/Silver Fantasy
iPhone,iPhone 5s 16B Storage - Powerful Smartphone |,10300,0.0,89.0,47.0,https://www.daraz.pk/products/4gb-a05s-64gb-8mp-ips-lcd-5000mah-i438069913-s2118885564.html?search=1,78,Non PTA Factory Unlocked Affordable 5s: Enjoy the freedom stay connected worldwide with WIFI on a budget.
Xiaomi,Xiaomi Redmi Note 12 || 8GB Ram 128GB,50399,0.0,91.0,75.0,https://www.daraz.pk/products/23-8gb-8gb-256gb-5000mah-i438924368-s2124853900.html?search=1,6,"eneral FeaturesRelease Date2023-05-10SIM SupportHybrid Dual SIM (Nano-SIM, dual stand-by)Phone Dimensions165.66 x 75.96 x 7.85 mmPhone Weight183.5gOperating SystemMIUI 14 based on Android 13DisplayScreen Size6.67 inchesScreen Resolution1080 x 2400 pixelsScreen TypeAMOLED Capacitive Touchscreen, MultitouchScreen ProtectionCorning Gorilla Glass 3MemoryInternal Memory128 GBRAM8 GBCard SlotmicroSDXC (uses shared SIM slot)PerformanceProcessorQualcomm Snapdragon 685 (6nm)GPUAdreno 610BatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera13 MPFront Flash LightNoFront Video Recording1080p@30fpsBack Flash LightYesBack Camera50 MP + 8 MP + 2 MPBack Video Recording1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioNoWiFiYesNFCNo"
Xiaomi,Xiaomi 13T (12GB-256GB) PTA Approved With Official 1,169999,4.6,92.0,100.0,https://www.daraz.pk/products/samsung-a54-8gb256gb-android-13-5000-mah-battery-64-display-i432674368-s2125093041.html?search=1,75,"Display: FHD+ 6.67” CrystalRes AMOLED display | 2712 x 1220, 446 ppi"
Samsung,Samsung A14 4/128,50999,4.6,90.0,72.0,https://www.daraz.pk/products/oppo-a17-4gb-64gb-5000mah-battery-i422151695-s1997383388.html?search=1,19,Samsung A14 4/128
Redmi,Redmi A2+ (3GB-64GB) PTA Approved With Official 1,19999,4.7,94.0,100.0,https://www.daraz.pk/products/tecno-camon-20-8gb256gb-64-mp-camera-5000-mah-battery-667-i428102257-s2035159540.html?search=1,50,Display: 6.52” HD+ Dot Drop display
itel,"itel S23 8GB Ram 128GB Rom 6.6"" Display",28799,3.0,77.0,87.0,https://www.daraz.pk/products/oppo-a57-52-hd-display-4gb-ram-64gb-rom-dual-sim-pta-approved-phone-and-box-only-charger-accessories-not-included-mix-color-i436688385-s2098284266.html?search=1,136,"The S23 series is equipped with an HD+ fullview display, a powerful octa-core processor, and a fingerprint sensor to provide users with a secure and seamless experience."
Samsung,Samsung A34 - 8GB/256GB - 6.6 inches Display,103499,4.0,92.0,85.0,https://www.daraz.pk/products/sparx-s7-2gb-ram-32gb-rom-tripple-camera-4000mah-battery-545-display-with-one-year-brand-warranty-and-pta-approved-i434688222-s2089434696.html?search=1,43,Samsung A34 - 8GB/256GB - 6.6 inches Display - Android 13 - 5000mAh Battery
